time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (unitless/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
14544.375300640886,30064.676675818537,-7.36434359795777,2863642.021552732,7537.123327991502,0.0,-3262.8750422929825,0.6777099583073037,-7.91392147840237e-05,63884.859690276324,8.231346034620067,0.4629672883473427,5653.731916246757,205.44035420521385
14544.375300640886,30064.676675818537,-7.36434359795777,2863642.021552732,7537.123327991502,0.0,-3262.8750422929825,0.6777099583073037,-7.91392147840237e-05,63884.859690276324,8.231346034620067,0.4629672883473427,5653.731916246757,205.44035420521385
14931.85890638245,27211.11426456206,-7.3643435979577605,2941914.8203752222,7555.100864120766,0.0,-3287.4127352157607,0.6470448100072341,-7.91392147840236e-05,63724.917426316446,10.521898048330215,0.411842904437553,5618.927725841732,198.54796476942104
15466.507195783315,23273.780557353733,-7.3643435979577605,3045428.931715484,7575.532299884371,0.0,-3303.9905831242254,0.6047331641984284,-7.91392147840237e-05,63502.79148212309,13.757666935129736,0.3533824353930157,5557.096688534881,188.62062791374956
15635.721551377546,22027.62790105081,-7.364343597957763,3077070.292249637,7576.1740410243265,0.0,-3307.9810990605383,0.5913416729665163,-7.913921478402375e-05,63432.33325547562,14.843294696967899,0.3365398240095983,5529.09755180909,185.3797590457909
15635.721551377546,22027.62790105081,-7.364343597957763,3077070.292249637,7576.1740410243265,0.0,-3307.9810990605383,0.5913416729665163,-7.913921478402375e-05,63432.33325547562,14.843294696967899,0.3365398240095983,5529.09755180909,185.3797590457909
16096.40122071156,18635.024527481582,-7.364343597957767,3160390.8390545687,7560.550097647103,0.0,-3303.983339978187,0.5548838456684589,-7.91392147840238e-05,63240.3815626631,17.868635035454783,0.2949181777758809,5428.1244183539775,176.320345659419
16732.045138342128,13953.924312098105,-7.364343597957765,3268342.7519754064,7529.622053527426,0.0,-3279.095440724149,0.5045794851449348,-7.913921478402385e-05,62976.61295192778,22.253304348023406,0.2463656898973128,5258.232741226315,163.2633028938937
16933.224264959706,12472.372098949196,-7.3643435979577685,3300756.6399697745,7503.392964501394,0.0,-3261.1744986637277,0.4886583270334839,-7.913921478402389e-05,62893.648362699234,23.747666866888324,0.23058385668455597,5181.835353165713,158.998851738275
16933.224264959706,12472.372098949196,-7.3643435979577685,3300756.6399697745,7503.392964501394,0.0,-3261.1744986637277,0.4886583270334839,-7.913921478402389e-05,62893.648362699234,23.747666866888324,0.23058385668455597,5181.835353165713,158.998851738275
17320.70787070127,9618.809687692725,-7.364343597957767,3360741.8164680153,7429.697634747458,0.0,-3201.2155006092466,0.4579931787334144,-7.913921478402388e-05,62735.78989732825,26.465870759726176,0.20334477660661995,5001.336626622983,150.6098186194414
17855.356160102136,5681.475980484389,-7.364343597957762,3438080.968188465,7260.983499715081,0.0,-3076.2343388512318,0.4156815329246083,-7.913921478402375e-05,62524.0760703126,30.44961856196782,0.1683635035936759,4658.533528553546,138.66141565826337
18024.570515696367,4435.323324181463,-7.364343597957762,3461214.382334488,7199.753342249083,0.0,-3023.6446483891327,0.4022900416926962,-7.913921478402364e-05,62459.01052371136,31.620377595643802,0.15860596136565275,4534.356878850659,134.79094549067395
18024.570515696367,4435.323324181463,-7.364343597957762,3461214.382334488,7199.753342249083,0.0,-3023.6446483891327,0.4022900416926962,-7.913921478402364e-05,62459.01052371136,31.620377595643802,0.15860596136565275,4534.356878850659,134.79094549067395
18214.301014309247,3038.0827413843745,-7.364343597957767,3486369.1266760835,7131.447046120552,0.0,-2967.430221550661,0.38727491901189176,-7.91392147840238e-05,62387.4126575316,32.99135202624917,0.14807172932807275,4390.163730113888,130.40117072492166
18476.09037785255,1110.1759179607957,-7.364343597957763,3519699.620070006,7050.863069976345,0.0,-2900.064993373403,0.36655711434226523,-7.91392147840237e-05,62290.675780672194,34.71059915685124,0.13517637922391385,4194.439198625153,124.257649356042
18558.945816337255,500.0,-7.3643435979577605,3529911.9999999995,7031.197159884813,0.0,-2888.9734506406294,0.36,-7.91392147840236e-05,62260.49969431877,35.23746456136119,0.13143166125999456,4135.52046348599,122.29253366343002
